Tipo de material;Meio de divulgação;Entidade;Tipo de organização;Autor;Título;Palavras-chave ou descritores;Ano da produção;Ano da publicação;Edição;Local de publicação;Editora;Número de páginas/minutos;Disponível em;ISBN;ISSN
legislação;site;Secretaria Especial dos Direitos Humanos;governamental;O Conselho das Autoridades Centrais Brasileiras;Convenção Relativa à Proteção das Crianças e à Cooperação em Matéria de Adoção Internacional ;Crianças, adoção, internacional;09 de maio de 2008;21 de desembro de 2009;243;Diário Oficial da União;Imprensa Nacional;1;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=8&data=21/12/2009;;1677-7042
legislação;site;ONU;governamental;United Nations Information Centre-Rio de Janeiro;Declaração das Nações Unidas sobre os Direitos dos Povos Indígenas;Direitos, povos;13 de setembro de 2007;março de 2008;;UNIC;;22;http://www.funai.gov.br/arquivos/conteudo/cogedi/pdf/LEGISLACAO_INDIGENISTA/Legislacao-Fundamental/ONU-13-09-2007.pdf;;.
legislação;site; Organização Internacional do Trabalho;governamental;;Convenção nº 169 da OIT sobre Povos Indígenas e Tribais;Trabalho, povos;;19 de abril de 2004;;Casa Civil Subchefia para Assuntos Jurídicos;;10;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2004/Decreto/D5051.htm;;.
legislação;site;ONU;governamental;ONU;Pacto Internacional sobre Direitos Civis e Políticos;Direito, internacional, políticos;;06 de julho 1992;;Casa Civil Subchefia para Assuntos Jurídicos;;14;http://www.planalto.gov.br/ccivil_03/decreto/1990-1994/D0592.htm;;.
legislação;site;Presidência da República;governamental;;DECRETO No 591, DE 6 DE JULHO DE 1992;Pacto Internacional sobre Direitos Econômicos, Sociais e Culturais. ; 06 de julho de 1992;7.7.1992;;Casa Civil Subchefia para Assuntos Jurídicos;;8;http://www.planalto.gov.br/ccivil_03/decreto/1990-1994/D0591.htm;;.
legislação;site;Presidência da República;governamental;;DECRETO No 678, DE 6 DE NOVEMBRO DE 1992;Convenção Americana sobre Direitos Humanos;6 de novembro de 1992; 9.11.1992;;Casa Civil Subchefia para Assuntos Jurídicos;;1;http://www.planalto.gov.br/ccivil_03/decreto/D0678.htm;;.
legislação;site;Presidência da República;governamental;;CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL DE 1988;Estado Democrático. Direitos sociais e individuais.;;5 de outubro de 1988.;;Casa Civil Subchefia para Assuntos Jurídicos;;107;http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm;;.
legislação;site;Presidência da República;governamental;;LEI Nº 6.001, DE 19 DE DEZEMBRO DE 1973.;Estatuto do Índio;;21.12.1973;;Casa Civil Subchefia para Assuntos Jurídicos;;10;http://www.planalto.gov.br/ccivil_03/leis/l6001.htm;;.
legislação;site;Presidência da República;governamental;;DECRETO-LEI Nº 3.689, DE 3 DE OUTUBRO DE 1941;Código de Processo Penal;;24.10.1941;;Casa Civil Subchefia para Assuntos Jurídicos;;118;http://www.planalto.gov.br/ccivil_03/decreto-lei/del3689.htm;;.
legislação;site;Presidência da República;governamental;;DECRETO-LEI No 2.848, DE 7 DE DEZEMBRO DE 1940;Código Penal;7 de dezembro de 1940;31.12.1940 e retificado em 3.1.1941;;Casa Civil Subchefia para Assuntos Jurídicos;;72;http://www.planalto.gov.br/ccivil_03/decreto-lei/del2848.htm#art361;;.
legislação;site;Presidência da República;governamental;;LEI Nº 11.696, DE 12 DE JUNHO DE 2008;Dia Nacional de Luta;12  de  junho  de 2008;13 de  junho  de 2008;;Casa Civil Subchefia para Assuntos Jurídicos;;1;http://www.planalto.gov.br/ccivil_03/_Ato2007-2010/2008/Lei/L11696.htm;;.
legislação;site;Presidência da República;governamental;;Plano Nacional de Políticas para as Mulheres- DECRETO Nº 5.390;Mulheres, plano nacional;8 DE MARÇO DE 2005;9.3.2005;;Casa Civil Subchefia para Assuntos Jurídicos;;5;http://www.planalto.gov.br/ccivil_03/_Ato2004-2006/2005/Decreto/D5390.htm;;.
legislação;site;Presidência da República;governamental;;Política Nacional de Promoção da Igualdade Racial- DECRETO Nº 4.886;Igualdade Racial;20 DE NOVEMBRO DE 2003;21.11.2003;;Casa Civil Subchefia para Assuntos Jurídicos;;5;http://www.planalto.gov.br/ccivil_03/decreto/2003/D4886.htm;;.
legislação;site;Presidência da República;governamental;;Código Civil- LEI Nº 10.406;Código Civil;10 DE JANEIRO DE 2002;11.1.2002;;Casa Civil Subchefia para Assuntos Jurídicos;;187;http://www.planalto.gov.br/ccivil_03/Leis/2002/L10406.htm;;.
legislação;site;Presidência da República;governamental;;Lei de crimes hediondos- LEI Nº 8.072;Crimes Hediondos;25 DE JULHO DE 1990;26.7.1990;;Casa Civil Subchefia para Assuntos Jurídicos;;4;http://www.planalto.gov.br/ccivil_03/Leis/L8072.htm;;.
legislação;site;Presidência da República;governamental;;Crimes resultantes de preconceito de raça ou de cor- LEI Nº 7.716;Preconceito, raça e cor; 5 DE JANEIRO DE 1989;6.1.1989 e retificada em 9.1.1989;;Casa Civil Subchefia para Assuntos Jurídicos;;3;http://www.planalto.gov.br/ccivil_03/Leis/L7716.htm;;.
legislação;site;Presidência da República;governamental;;Defesa dos direitos indígenas em juízo- LEI No 7.347;direitos indígenas;24 DE JULHO DE 1985;25.7.1985;;Casa Civil Subchefia para Assuntos Jurídicos;;5;http://www.planalto.gov.br/ccivil_03/Leis/L7347orig.htm;;.
legislação;site;Presidência da República;governamental;;Convenção internacional sobre a eliminação de todas as formas de discriminação racial- DECRETO Nº 65.810;Discriminação Racial;8 DE DEZEMBRO DE 1969;;;Senado Federal;;10;http://legis.senado.gov.br/legislacao/ListaTextoIntegral.action?id=94836;;.
legislação;site;Presidência da República;governamental;;Promulga a Convenção nº 104 concernente à abolição das sanções penais- DECRETO Nº 58.821;Abolição Penal;14 DE JULHO DE 1966;20/07/1966;;Câmara dos Deputados;;3;http://www2.camara.leg.br/legin/fed/decret/1960-1969/decreto-58821-14-julho-1966-399438-publicacaooriginal-1-pe.html;;.
legislação;site;Presidência da República;governamental;;Crime de genocídio- LEI Nº 2.889;Crime de Genocídio;1º DE OUTUBRO DE 1956;2.10.1956;;Casa Civil Subchefia para Assuntos Jurídicos;;2;http://www.planalto.gov.br/ccivil_03/Leis/L2889.htm;;.
legislação;site;Presidência da República;governamental;;"""Dia do Índio”- DECRETO-LEI Nº 5.540";Dia do Índio;2 DE JUNHO DE 1943;4.6.1943;;Casa Civil Subchefia para Assuntos Jurídicos;;1;http://www.planalto.gov.br/ccivil_03/Decreto-Lei/1937-1946/Del5540.htm;;.
legislação;site;Diretoria de Proteção Territorial- FUNAI;governamental;PRESIDENTE DA FUNDAÇÃO NACIONAL DO ÍNDIO;INSTRUÇÃO NORMATIVA Nº 002;território, terras;3 DE FEVEREIRO DE 2012;06.02.12;;STI - Sistema de terras indígenas;;7;http://www.funai.gov.br/arquivos/conteudo/dpt/doc/instrucaonormativa-2-cpab.pdf;;.
legislação;site;FUNDAÇÃO NACIONAL DO ÍNDIO- FUNAI;governamental;PRESIDENTE DA FUNDAÇÃO NACIONAL DO ÍNDIO;DIRETRIZES E CRITÉRIOS A SEREM OBSERVADOS NA CONCEPÇÃO E EXECUÇÃO DAS AÇÕES DE DEMARCAÇÃO DE TERRAS INDÍGENAS- PORTARIA Nº 116;território, terras;14 DE FEVEREIRO DE 2012;15.2.2012;;FUNDAÇÃO NACIONAL DO ÍNDIO- FUNAI;;3;http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=27&data=15/02/2012;;1677-7042
